PairID,Protocol/Results,PMCID,Link,Text,Handling missing data (check all that were reported),Used full article
41,Protocol,PMC6421712,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6421712/,"...The primary available-case analysis will include all participants with primary endpoint data. In addition, an intention-to-treat analysis for the primary endpoint assessed at 3 weeks will be conducted considering all participants with missing endpoint data as treatment failure or all as treatment success to ensure that the results are not sensitive to potential loss to follow-up bias....The analysis after 6 and 12 months of follow-up will be complemented by generalized estimating equation models with independent correlation structure and empirical estimators to account for missing data....",Complete case  | Mixed effects ,No
41,Results,PMC8277064,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277064/,,Not reported,No
42,Protocol,PMC3652773,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3652773/,"...The primary analysis is an intent-to-treat (ITT) analysis based on multiple imputation (MI) of missing next winter SIGH-SAD scores [39-41]....Imputed values will be generated from multivariate normal models derived from subjects with next winter follow-up data, using baseline and post-treatment SIGH-SAD, HAM-D, and atypical scores, demographic variables (e.g., gender, race, age), and other baseline patient characteristics (e.g., presence of a comorbid axis I disorder, antidepressant medication status) as potential predictors....The difference between the CBT and LT groups in the proportions of subjects with a recurrence the next winter will be estimated for each of the ten data sets and the estimates will be combined using the inference methods for MI described by Little and Rubin [42]. SAS PROC MI and PROC MIANALYZE will be used to carry out the imputation and analysis....Although the models are essentially the same as those fitted to the complete data for the purpose of imputation, for this analysis they will be fitted to the imputed data sets, and the Rao-Blackwell estimates of the effects of the modifiers will be obtained [43]....",Multiple imputation ,No
42,Results,PMC7962797,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962797/,,Not reported,No
43,Protocol,PMC7574300,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7574300/,"...All analyses will be conducted on the modified intention-to-treat population with a set significance level of p < 0.05....In case of missingness greater than 5% for the primary endpoint, multiple imputations by chained equations will be applied as sensitivity analysis with generation of 20 individual data sets....All analyses will be made on the modified intention to treat population, i.e., randomized patients for whom the study drug has been prepared and the patients next of kin has not refused participation when informed of the study and asked for consent. As listed above, missingness of greater than 5% for the primary outcome (hsCRP) will prompt the use of multiple imputation....",Multiple imputation ,No
43,Results,PMC8104015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8104015/,"...Reported results are based on the modified intention-to-treat population defined as all randomly assigned patients who received the intervention and for whom the next of kin did not refuse consent to the trial intervention and procedures....By default, PROC MIXED estimates missing values based on maximum likelihood inference. For the primary end point (CRP), a prespecified limit of >5% missingness was set for when to perform multiple imputations....",Mixed effects  | Multiple imputation ,No
44,Protocol,PMC3189404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3189404/,,Not reported,No
44,Results,PMC3816864,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816864/,,Not reported,No
45,Protocol,PMC4464611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464611/,"...As the outcome, the analyses will focus on the group of residents living in the nursing homes after 12 months....Analysis will be based on the intention-to-treat principle....",Mixed effects,Yes
45,Results,PMC6503937,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503937/,"...The outcome analysis after 12 months included all active participating residents of the nursing homes at that time....After excluding residents who were recruited post-randomisation from the analysis, a reduction in antipsychotic prescription rates could be observed in both groups....",Complete case ,No
46,Protocol,PMC3476981,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3476981/,"...Two analyses will be performed: an intention-to-treat analysis (ITT) and a per-protocol analysis (PP). In the ITT analysis, outcomes of all the participants will be used for the group they are originally assigned to. In the PP analysis, outcomes of protocol violators will be ignored....",Mixed effects ,Yes
46,Results,PMC4679993,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4679993/,...We conducted the statistical analysis following the intention-to-treat principle (ITT): patients were analysed in the groups to which they were allocated. We also performed a secondary analysis following the per protocol (PP) principle: only the patients who followed the randomisation protocol were analysed and the patients who opted out of the treatment allocation prior to treatment initiation were excluded from this analysis....Linear mixed models deal with missing data by predicting the best-fitting line for each patient without data imputation....,Mixed effects ,No
47,Protocol,PMC4127193,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4127193/,"...Analyses will first be undertaken using the intent-to-treat approach. Following this, a per protocol analysis will be undertaken to determine whether effectiveness varied by adherence (i.e. attending the three month booster counseling session) and potentially nurse adherence....",Multiple imputation ,Yes
47,Results,PMC5506677,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5506677/,"...Intention-to-treat analysis indicated no significant time by treatment impact for past year IPVs, reproductive coercion, safety planning behaviors, use of community resources, and mental quality of life (Table 3)....Intention-to-treat analyses found a significant differential increase of safety planning behaviors (β, 0.41; 95% CI, 0.02–0.79; P = 0.04) and improvement of mental quality of life (β, 1.45; 95% CI, 0.14–2.75; P = 0.03) at T2 among the treatment group relative to the control (Table 4)....Intention-to-treat analyses found no significant differential effects for IPVs, reproductive coercion, and mental quality of life when comparing T2 and T3 responses (Table 5)....",Not reported,Yes
48,Protocol,PMC5968465,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5968465/,...Intention-to-treat analysis will be used for data analysis....,Not reported,Yes
48,Results,PMC9066809,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9066809/,,Not reported,No
49,Protocol,PMC6935101,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6935101/,"...Analysis of the primary and secondary criteria will be performed on the intent-to-treat population. In addition, complementary per protocol analyses will be performed....",Not reported,Yes
49,Results,PMC9171654,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9171654/,"...The intention-to-treat analysis included all randomized participants. Data on compulsory admissions were obtained for all participants; no imputation was performed for the primary outcome....Missing data were addressed using multiple imputations,28 which creates multiple “complete” data sets with predictions for each missing value....Fifty imputed data sets were implemented using MICE by chained equations and mitools R packages. The multiple imputation approach was compared with existing methods for handing missing data; for complete cases, imputed data were compared with the mean or the last observation carried forward....",Multiple imputation  | Complete case  | Single imputation,No
50,Protocol,PMC3699393,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3699393/,,Not reported,No
50,Results,PMC4115267,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4115267/,,Not reported,No
51,Protocol,PMC5584035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584035/,,Not reported,No
51,Results,PMC9012360,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9012360/,...An intent-to-treat analysis with a complete case approach was used as the primary analytic strategy for all analyses (S1 Analysis Plan)....,Complete case ,No
52,Protocol,PMC5719477,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5719477/,...All primary analyses will be based on an intent-to-treat approach with all participants who were randomized included in the final analysis. Loss to follow-up and missing data will be addressed by using multiple imputation (Azur et al. 2011)....,Single imputation,No
52,Results,PMC7164585,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164585/,"...Primary analyses were intent-to-treat and included all enrolled participants. Multiple imputation with chained equations was used to address missing data [44]. All timepoints were included in the imputation procedure, and imputed variables included the outcomes of interest, the SVAWS subscale score, the AUDIT score, and the WHO IPV items. We followed recommendations by White and colleagues of performing a number of imputations approximately equivalent to the amount of missing data; we therefore imputed 17 datasets [45]....Table 2 presents the intervention effect for IPV outcomes following multiple imputation....All participants were included in the intent-to-treat analysis, and we believe that the use of multiple imputation procedures was appropriate for handling the missing data....",Multiple imputation ,No
53,Protocol,PMC3720554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3720554/,"...Full information maximum likelihood (FIML) estimation under the assumption of data missing at random (MAR) will be used in analyzing incomplete data. As the normality assumption is violated, maximum likelihood with robust standard errors (MLR) will be used....",Mixed effects ,No
53,Results,PMC4371624,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371624/,"...In both multilevel and structural equation model full information maximum likelihood (FIML) estimation under the assumption of data missing at random (MAR) was used in analyzing incomplete data. Thus, incomplete data were analysed according to intention to treatment principles....",Mixed effects ,No
54,Protocol,PMC4248299,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4248299/,...Primary analysis will be based on the ‘intention to treat’ population of all randomised participants regardless of their compliance with the protocol....Missing data patterns will be explored and addressed according to current best practice....,Not reported,Yes
54,Results,PMC6365841,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365841/,"...Analysis of the primary endpoint and all secondary endpoints was according to modified intention to treat (mITT), including patients with available outcome data based on their randomised treatment allocation, regardless of compliance....The primary analysis was then repeated with additional adjustment for HADS, imaging measures of osteoarthritis (radiographic Kellgren-Lawrence grade), hip morphology (maximum cartilage α angle on MRI, and centre-edge angle on anteroposterior pelvis radiograph) (analysis B); the per protocol population, excluding participants with major deviations from the trial protocol (analysis C); and six months post-intervention outcomes (analysis D)....To consider the potential impact of missing data on trial conclusions, we used multiple imputation (data missing at random) and sensitivity analysis (data not missing at random). Multiple imputation by chained equations was performed using the “mi impute chained” command in Stata. We used a linear regression model to impute missing outcomes for the HOS ADL at eight months post- randomisation. Variables in the imputation model included all covariates in the analysis model (baseline HOS ADL (continuous), age (continuous), and sex). In addition, we included other variables that were thought to be predictive of the outcome (lateral centre-edge angle, maximum α angle, Kellgren-Lawrence grade, and baseline HADS score). Imputations were run separately by treatment arm and based on a predictive mean matching approach, choosing at random one of the five HOS ADL values with the closest predicted scores. Missing data in the covariates that were included in the multiple imputation model were imputed simultaneously (multiple imputation by chained equation approach)....",Multiple imputation ,No
55,Protocol,PMC5134092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5134092/,"...To limit the missing data in our study [36], incomplete questionnaires and incomplete spirometry measurements will be excluded....The analysis will follow the intention-to-treat principle [16]....",Not reported,Yes
55,Results,PMC6714428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6714428/,,Not reported,No
56,Protocol,PMC5654192,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5654192/,...The primary analysis will be by intent-to-treat and use generalized linear models (GLM) with generalized estimating equation (GEE) to account for within-cluster correlations....,Mixed effects ,No
56,Results,PMC7787382,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787382/,"...A serial cross-sectional analysis approach was chosen a priori, as high loss to follow-up was anticipated in this mobile population, and our main interest was outcomes across the entire population present at the time of survey and not just participants present at baseline. An intention-to-treat analysis adjusting for age and sex was also performed. Finally, an as-treated analysis was conducted with exposure defined as self-reported receipt of any Health Scout counseling (exposure data was also collected through the RCCS survey)....",Complete case  | Unclear ,No
57,Protocol,PMC6887087,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6887087/,"...Participants will be considered part of the intention to treat (ITT) group after receiving the first dose of the study medication...In all, 92 patients will be randomised to allow for a 10% drop-out rate from the ITT population....In the ITT population, none of the randomised participants will be excluded, and the patients will be analysed according to the randomisation group. The per-protocol population will consist of all the patients who completed the study with a documented valid baseline and a final-week assessment of the primary objective without any major protocol violations....The primary analysis will be based on the ITT population....Missing data will be estimated using the maximum likelihood method....",Mixed effects ,No
57,Results,PMC8475664,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8475664/,"...Analyses of the primary end point, change in MFR, and all secondary end points were based on the intention‐to‐treat population, that is, all patients with baseline measurements that took at least 1 dose of the trial medication....Missing values were deemed missing at random and imputed implicitly by maximum likelihood estimation. When analyzing the per‐protocol population, that is, participants with both baseline and follow‐up measurements, a constrained linear mixed model was also used....",Mixed effects ,No
58,Protocol,PMC6327461,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6327461/,,Not reported,No
58,Results,PMC7511540,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7511540/,,Not reported,No
59,Protocol,PMC6647387,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6647387/,"...Since an interpolation of data will not be performed in case of a drop-out, the primary analysis is a per-protocol analysis....",Complete case ,No
59,Results,PMC7540547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7540547/,,Not reported,No
60,Protocol,PMC3567958,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3567958/,"...The intention-to- treat (ITT) analysis of 423 patients, allocated into the two treatment arms according to a randomization ratio of 1:2 (141 in the control arm and 282 in the experimental arm), will allow us to detect an absolute mean reduction of 2.1 lesions with an α error of 0.05 (two-sided likelihood ratio test (LRT)) and a power of 90% (power analysis based on 5,000 simulations, assuming a negative binomial distribution)....With an enrolment of 222 patients allocated according to a randomization ratio of 1:2 (74 in control arm and 148 in experimental arm), power is sufficient to detect, based on the ITT analysis, an absolute improvement ranging from 15% to 25% (α = 0.05, two-sided test on proportions), as shown in Table 4....### Table 4 Power calculation for different scenarios of baseline values and deltas of the probability of improvement at 1 year in the combined clinical end point (intention-to-treat analysis)...The main analysis will be conducted according to the principles of ITT, separately on the two subpopulations (RRMS and SPMS), which implies that all randomized patients will be retained in the original randomized arm. The secondary analysis will be run per protocol (PP) and will take into consideration all randomized patients who were positive (true CCSVI) also at the time of venography....",Not reported,Yes
60,Results,PMC5833494,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833494/,...The main analysis was intention to treat....,Not reported,Yes
61,Protocol,PMC6869182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6869182/,...We plan to use intention-to-treat in our analysis....,Not reported,Yes
61,Results,PMC7439552,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439552/,,Not reported,No
62,Protocol,PMC4031497,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4031497/,,Not reported,No
62,Results,PMC5152707,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5152707/,...We followed the principle of intention to treat in the conduct of the trial and in all analyses....,Not reported,Yes
63,Protocol,PMC3179718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3179718/,...The data analysis will be based on the principle of intention-to- treat....Missing data is a potential source of bias and therefore the operation of multiple imputations will be used to address the issue of missing values. An analysis of the drop-out will be conducted to validate the complete case analyses....,Multiple imputation ,No
63,Results,PMC6371462,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371462/,"...The analyses were conducted according to the intent-to-treat principle, with the two-tailed level of significance for all statistical tests set at 0.05....Missing data were handled through multiple imputations, which were conducted with a linear mixed model, with post-intervention and follow-up as repeated measurements, baseline as a fixed effect covariate, and an unstructured covariance matrix....Furthermore, the linear mixed models were selected for their capacity to handle missing longitudinal data....Also, complete case analysis was conducted where it is assumed that the missing data are missing completely at random and excluded in the analysis. In complete case analysis it is presumed to describe data where the observed complete cases are representative of the sample [31]. The per-protocol analysis was performed to explore whether attendance at the IMR groups influenced the results....To address these missing data, a mixed model with multiple imputations was generated to estimate and improve the statistical test values....",Multiple imputation  | Complete case ,No
64,Protocol,PMC4672547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4672547/,"...Statistical analyses will be performed both based on the principle of “intention-to-treat” including everyone regardless of protocol violations, but “per protocol” analyses will also be executed, comparing only those who completed the two treatment conditions according to the protocol....Further attrition at later stages in the study progress is accounted for by utilizing the “intention-to treat” analysis....",Not reported,Yes
64,Results,PMC7457274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457274/,,Not reported,No
65,Protocol,PMC3263442,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3263442/,,Not reported,No
65,Results,PMC4947351,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4947351/,,Not reported,No
66,Protocol,PMC3503643,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503643/,"...The analysis will be done on an intention to treat (ITT) basis, whereby data on all respondents are included whether or not they report any contact with the intervention....We plan to perform a secondary analysis to assess the effect of the intervention among those in SASA! communities who report actual exposure to the intervention....The secondary analysis will be similar to that outlined above in that it will be performed at the cluster-level and thus stick to the original randomisation employed in the allocation of the intervention....Data from individuals in intervention sites who were not exposed to SASA!, and individuals from control sites not matched to intervention receivers, will then be excluded from the analysis....This analysis, restricted to those actually receiving the intervention, deals with the dilution of effects that would be observed in an ITT analysis due to incomplete exposure among individuals in intervention sites....If individual reports of intervention exposure reach 10% in control sites, we will perform a supplementary per-protocol analysis. This will involve analysing individuals according to whether or not they were exposed to SASA!, regardless of which site they live in and which arm of the trial the site was allocated to....",Not reported,Yes
66,Results,PMC4243194,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4243194/,"...As pre-specified in the study protocol [23], the primary analysis was done at the cluster level, on an Intention to Treat (ITT) basis - data on all respondents were included according to the site they lived in regardless of whether or not they reported any contact with the intervention....A secondary analysis was conducted to assess intervention effect among those in SASA! communities who reported at least a threshold level of exposure to the intervention....",Not reported,Yes
67,Protocol,PMC5337660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5337660/,"...In the main analysis, data will be analysed by intention to treat and then by per protocol analyses....Multiple imputation methodologies will be used to limit the amount of possible missing data....",Multiple imputation ,No
67,Results,PMC7592285,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7592285/,"...Statistical analyses were performed for the intention-to-treat (ITT), per- protocol (PP) and as-treated (AT) populations. The ITT analysis included all participants in the arms to which they were randomised, regardless of adherence to the prescribed intervention. For the PP and AT analyses, exposure to the application was defined as the completion of at least one activity or questionnaire through the app. For the PP analysis, participants in the intervention arm were defined as those randomised to that arm who completed at least one activity or questionnaire. Participants in the control arm were defined as those randomised to that arm who did not complete any activities or questionnaires through the app. For the AT analysis, participants who completed at least one activity or questionnaire through the app, independent of their allocation arm, were regarded as those exposed to the intervention. Participants who did not complete any activities or questionnaires through the application, independent of their allocation arm, were regarded as non-exposed to the intervention....Multivariate analyses, adjusted for baseline characteristics, were performed in the PP and AT populations....",Not reported,Yes
68,Protocol,PMC6180640,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6180640/,...Our primary analysis will be an intention-to treat comparison of treatment initiation ≤ 7 days and retention at 8 months by study arm....,Not reported,Yes
68,Results,PMC7451542,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7451542/,"...For all outcomes, the analytic approach was by intention to treat: subjects were analyzed according to the intervention they were supposed to receive, whether or not they adhere to the defined intervention. This included patients randomized to the intervention arm who screened out of immediate ART initiation by the SLATE II algorithm; they remained in the intervention arm for data analysis....After enrollment, a further eight women had a positive pregnancy test and were excluded, leaving a total of 593 study participants, who were randomized to either the standard arm (n = 297, 50%) or the intervention arm (n = 296, 50%) and were analyzed by original assigned groups....",Not reported,Yes
69,Protocol,PMC3260439,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3260439/,,Not reported,No
69,Results,PMC7846038,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7846038/,,Not reported,No
70,Protocol,PMC4919867,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919867/,...Endpoint data will be analysed under intention-to-treat assumptions....Multiple imputation methods will then be used for participants with missing outcome data. Sensitivity analyses will include a complete case analysis and a complier average causal effect (CACE) analysis [61]....,Multiple imputation  | Complete case  | Other,No
70,Results,PMC8938762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8938762/,"...Analyses were done in participants according to the group that they were randomised to....If two or less WHODAS items were missing, the mean score across all domain items was assigned to the missing items....The primary analyses were complete case (ie, we only included participants with data on the variables of interest). Sensitivity analyses included inclusion of participants with data collected within the timeframe of 6 weeks either side of the 12 months or at any time; exclusion of caregivers who differed between baseline and 12 months; and multiple imputation of missing data with a linear or logistic imputation model as appropriate, adjusting for factors associated with missingness, for the imputation with 50 imputed datasets....",Single imputation | Complete case  | Multiple imputation ,No
71,Protocol,PMC3193523,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193523/,...The primary study outcome of the LIFE Study will be tested based on an intent- to-treat approach using a two-tailed 0.05 significance level....All secondary outcomes will be analyzed using an intent-to-treat approach....,Mixed effects ,Yes
71,Results,PMC4266388,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4266388/,"...The effect of the intervention on the primary outcome (i.e. time until the initial ascertainment of major mobility disability) was tested based on a two- tailed significance of 0.05 using the intention to treat approach in which participants are grouped according to randomization assignment....Failure time was measured from the time of randomization; follow-up was censored at the last successfully completed 400m walk test. For participants who did not have any outcome assessments, we assigned one hour of follow-up time, since we knew that they completed the 400m walk at baseline....These analyses used stabilized inverse probability weights that were a function of baseline covariates hypothesized to be predictive of loss-to-follow-up (i.e. gender, race-ethnicity, age (80+), history of diabetes, gait speed <0.8 m/sec, low SPPB score (<8), 3MS<90, clinical site, and living alone (yes/no)) and follow-up gait speed and SPPB scores to explore how the estimated hazard ratios and confidence intervals may have been altered under these missing data assumptions....",Mixed effects ,Yes
72,Protocol,PMC6597746,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6597746/,"...The data for subjects who withdraw from the study (such as unwilling to continue the next dose) will be removed from data analysis, but will be reported in the supplement files....",Not reported,Yes
72,Results,PMC8539308,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8539308/,,Not reported,No
73,Protocol,PMC5765655,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5765655/,"...Mixed models are the preferred approach to analyze data with repeated measures; these models can account to for correlation among repeated measurements, flexible time effects, and can handle missing data....",Mixed effects ,No
73,Results,PMC7282578,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7282578/,...Linear mixed models were robust when dealing with missing data and differential data structures Linear mixed modeling was computed for the 6-month (24-week) follow-up interval....,Mixed effects ,No
74,Protocol,PMC4037747,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4037747/,...All analyses will be undertaken by the intention-to-treat principle. Adverse events will use the ‘as treated’ principle....,Not reported,Yes
74,Results,PMC7242434,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7242434/,"...For co-detections (i.e., multiple enteropathogens detected), we first included all cases with the specific pathogen, then repeated the analysis using only single pathogen detection cases....Models were only constructed to evaluate pathogens identified in a minimum of 10 participants. Multiple imputation was used to account for individual missing elements of the 7-item MVS score....The imputation model, based on inspection, assumed that data were missing at random and included key baseline characteristics, trial group, and all efficacy outcomes14....",Multiple imputation ,No
75,Protocol,PMC5634880,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5634880/,"...These data will not be excluded from the study, instead, they will fall within ITT (intention-to-treat) through discussions among investigators, statisticians, data management, and others before un-blinding....We will use the intent-to-treat principle to analyze the efficacy and safety of QSG....",Not reported,Yes
75,Results,PMC9822771,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9822771/,...We used the per-protocol analysis to analyze the data and the Shapiro-Wilk test to identify data distribution....,Not reported,Yes
76,Protocol,PMC4363354,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4363354/,...Modified ITT analysis will be performed with a clear description of exactly who was included in each analysis....,Not reported,Yes
76,Results,PMC5873374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5873374/,...All analyses were modified intention‐to‐treat analysis....,Complete case ,Yes
77,Protocol,PMC4328054,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4328054/,...The study will use an intention-to-treat analysis and the main outcome variable will be measured at the beginning of the study for each participant....,Not reported,Yes
77,Results,PMC8538243,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8538243/,"...All analyses were performed by using the statistical package R (R Foundation for Statistical Computing, Vienna, Austria; version 4.0.5), according to the intention-to-treat analysis principle and considering a significance level with a p-value < 0.05....",Not reported,Yes
78,Protocol,PMC7931026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7931026/,...Outcome data will be analyzed with the intention-to-treat approach....,Not reported,Yes
78,Results,PMC9225274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9225274/,...The results were analyzed using the intention-to-treat approach....,Not reported,Yes
79,Protocol,PMC4074338,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4074338/,,Not reported,No
79,Results,PMC4919206,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919206/,,Not reported,No
80,Protocol,PMC5838559,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5838559/,"...The primary analysis will utilize intent‐to‐treat principles, with study subjects analyzed by assigned treatment group regardless of study drug adherence....A sensitivity analysis will be performed on the group of patients adhering to interventions for >80% of the duration of the study....",Mixed effects ,Yes
80,Results,PMC7654934,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7654934/,"...All analyses were performed using intention-to-treat, with study subjects analysed by treatment group assigned regardless of study drug adherence....",Not reported,Yes
81,Protocol,PMC3039582,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3039582/,...Analysis will be by intention-to-treat....,Not reported,Yes
81,Results,PMC3636795,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3636795/,...Analysis was by intention to treat....,Not reported,Yes
82,Protocol,PMC8053307,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8053307/,"...The intention to treat (ITT) analysis will include all subjects randomised ignoring noncompliance, protocol deviations, withdrawal and anything that may take place after randomisation.17 18 The primary analysis population for evaluating both efficacy and safety outcomes will be a modified ITT (MIIT) population and will include all subjects who have been randomised, but will exclude some randomised subjects such as patients who were judged ineligible after randomisation or patients who withdrew consent or who never started the treatment,17 18 study drug (favipiravir tablets or placebo) was started, and the patient did not withdraw consent....",Not reported,Yes
82,Results,PMC8747778,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8747778/,,Not reported,No
83,Protocol,PMC5422966,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5422966/,,Not reported,No
83,Results,PMC8820776,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8820776/,"...All main analyses were performed according to intention to treat by linear models with group assignment (intervention vs control) as a fixed factor and recruiting hospital, tumor site (colon or rectum), neoadjuvant therapy (none, radiotherapy, or chemo/radiotherapy), and type of surgery (open or laparoscopic) as adjusting covariates and are presented with 95% confidence intervals and P-values....We performed preplanned per protocol analyses and exploratory subgroup analyses for frail individuals (Supplemental Material 2)....",Mixed effects ,No
84,Protocol,PMC4617887,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617887/,"...For withdrawn subjects the last post-baseline observation will be carried forward....The analyses will be performed on the basis of the intention-to-treat principle, and all patients who are allocated to either group will be included in the analysis, regardless of actual surgery performed....For subjects that withdrawn from the study before completion, the data from the last observation will be carried forward (imputed)....",Single imputation,No
84,Results,PMC6613852,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6613852/,"...The analyses of outcomes were based on the intention-to-treat principle, and all patients were analyzed in their randomized group regardless of any other surgical intervention. A per-protocol analysis, including only those patients who received their allocated treatments, was also performed....",Not reported,Yes
85,Protocol,PMC4738785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4738785/,,Not reported,No
85,Results,PMC7083321,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7083321/,"...Second, we conducted attrition analysis using logistic regression adjusting for clustering within camps to examine whether treatment status predicted drop-out and to test for differential lost to follow-up across conditions. Third, to assess the effects of the intervention on primary and secondary outcomes, we used an intention-to-treat approach (i.e., all individual participants in camps that were randomized to intervention or control were included in analyses regardless of level of intervention exposure), with statistical models also accounting for clustering of participants within camps....",Not reported,Yes
86,Protocol,PMC4660775,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4660775/,,Not reported,No
86,Results,PMC8899208,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8899208/,...The analysis was planned per protocol....,Mixed effects ,Yes
87,Protocol,PMC4696142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4696142/,,Not reported,No
87,Results,PMC5562172,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562172/,,Not reported,No
